00KSCJkYb8JKa4Y3	Annisokay	Coma Blue	Arms
tJrr2k2yPWZQyrRr	Helena Deland	Lean on You	"From the Series of Songs ""Altogether Unaccompanied"" Vol. III"
tJuyi7aMXHD57aF8	Com Truise	Dryswch	Iteration
tLG3NIT1e5dZ5HgP	Paul Simon	Armistice Day	Paul Simon
tLaSn42pmyy0Ruxa	Tribalistas	Fora da Memória	Tribalistas
tM38Z7p7RxgRbx65	Moonsorrow	Pakanajuhla	Suden Uni
tM4kXFhQxFFVq6ZA	Green Day	Still Breathing	Revolution Radio
tMKgBIWbRZ6P3aRf	Septicflesh	Pyramid God	The Great Mass
tMTAFV1bwys4S3wf	Gentle Giant	Plain Truth	Acquiring The Taste
tMplnju2gtHtlzO0	Nat King Cole	The Girl From Ipanema	Ultimate Nat King Cole
tMw1ofvzuXlSPFJU	Bob Sinclar	The Beat Goes On	The Beat Goes On (Radio Edit) [The Cube Guys Remix]
tNBKrC9h2nddLJPK	Bauhaus	Terror Couple Kill Colonel	In The Flat Field
tOE7VDHS88yt58HB	The Men	Turn it Around	Open Your Heart
tORxFdihYPFveodf	Dark Tranquillity	State of Trust	Construct
tOXl2UWcBMxLbMsJ	Banda Eva	Beleza Rara	Beleza Rara
tOmFliTRX3O4hJvj	Avantasia	Sign of the Cross	The Metal Opera, Pt. I
tOpxvxFf1w7Pv8ey	Korn	Earache My Eye	Follow The Leader
tP9GWTDSQyLlRAYo	Wang Chung	Everybody Have Fun Tonight	Mosaic
tPjVq6VW5S3Unjn0	Windhand	First To Die	Eternal Return
tPpxseryP3SZudOS	White Lies	Come On	Friends (Deluxe Version)
tQQYM6INc2PJtivC	mt. fujitive	tequila	honshu island
tQuGOrA0JpXHI7fu	Serj Tankian	Sky is Over	Elect the Dead (Deluxe)
tQvqQumxc4vKlbI2	The Field	Leave It	Yesterday And Today
tRlhKg4CRSOLqjOa	lovesliescrushing	Sugaredglowing	bloweyelashwish
tRtyUkRMFtLWc6KH	Mägo de Oz	Fiesta Pagana	Finisterra
tRul2jiNr2e6Pr82	Jorge Ben	Hermes Trismegisto Escreveu	Africa Brasil
tS9WCz1b7F9H4WCb	Gnash	imagine if	we
tSxdiMgrJehvxSLY	Metallica	Phantom Lord (Remastered)	Kill 'Em All (Remastered)
tT7NxnxfroA5EPxb	The Stranglers	Hanging Around	Rattus Norvegicus
tTnfpshF42UAus3h	Drug Church	Tillary	Cheer
tU2p84k3NydGdlKA	Incubus	Glitterbomb	8
tU9XOOtlAuaW1Obk	KMFDM	Blood (Evil Mix)	Angst
tUekCvScbAokOhhH	CrazyEightyEight	Fortune and Glory, Kid	Burning Alive
tVheiIXk5PzOHfOW	SILVIO RODRÍGUEZ	La Maza	Cuba Classics 1: Silvio Rodriguez
tVqAyM99J3UcJtg8	Cigarettes After Sex	Crush	Crush
tWK7jFI4jqr53DoT	The Mamas & the Papas	Creeque Alley	Deliver
tWMQ9ywEIXkol8Ug	Franz Ferdinand	Words So Leisured	Franz Ferdinand (Special Edition Version)
tWX1RIqjDMFtqIVC	VNV Nation	Only Satellites	Noire
tWlTMRqV77a6CSSC	Hillsong United	Shadow Step	Wonder
tXLUO1K8xnIIkegr	Jennifer Lopez	Ain't Your Mama	Ain't Your Mama
tXVxrWyWfIf15Zbu	Blood Red Shoes	Colours Fade	Fire Like This
tXhoFYt3gUf38kHN	Lauryn Hill	Forgive Them Father	The Miseducation of Lauryn Hill
tXpnqhnmStLATIO3	Black Atlass	Paris	Paris
tXuH8Wi0KzMpRVVy	Playa Limbo	El Eco De Tu Voz	Canciones De Hotel
tY5BeSsJAb6iHxyF	Foy Vance	Be the Song	Melrose EP
tYjQBeO5W4Ur8VAr	Cute Is What We Aim For	Time	Rotation
tYkbSavgNDdlO98A	Burial	Exit Woundz	Ghost Hardware
tZHqooX3Auw1qBuw	Alice in Chains	Never Fade	Never Fade
tZvJ3KtJLCFfgdwq	Nolwenn Leroy	Rien De Mieux Au Monde	Histoires Naturelles
ta5eFyiIdxJPOiwL	Mary J. Blige	A Night to Remember	Think Like a Man Too (Music from and Inspired by the Film)
tadqOEqjPNeRqoBG	Delain	Turn The Lights Out	Lunar Prelude
taiJBp1aRNBx2kHm	Gabrielle	Give Me A Little More Time	Gabrielle
tc69ksoDdaIGdGq2	Westlife	Soledad	Coast To Coast
tcUP4ymT4z2CmDMX	Avril Lavigne	Dumb Blonde	Head Above Water
tcXsuGp99V3ciRGZ	Flamingosis	Football Head	Pleasure Palette
tdPYlqPOYfvQ78Ok	Janet Jackson	You Want This	Janet
tdurlXOJoeDaOpVu	Jesse McCartney	It's Over	Departure - Recharged
teBiVGPgJfjYJ9KP	Bibio	Raxeira	A Mineral Love
teC3vI0nLVHLpJnu	I Break Horses	Faith	Chiaroscuro
tefj3RENqkNCg9tQ	Idles	Colossus	Joy as an Act of Resistance.
tek796CDoc53xdab	Almir Guineto	Caxambu	Brazil Classics 2: O Samba
tf0lIl1Yk45HMU2d	XXXTentacion	I don't wanna do this anymore	Revenge
tfbp3eXzuYlzDVxk	Crooked Colours	All Eyes	Vera
tgyyCWGbivZ7rjpA	Patti LaBelle	Love, Need And Want You	The Essential Patti LaBelle
thsqsDM2viYcBXrY	Cobra Starship	Disaster Boy	Night Shades
tj3fXH29AD0d0anS	Marta Sánchez	Amor Perdido	Azabache
tjZ4pqMTUkLlT7VL	Bahamas	All The Time	Bahamas is Afie
tkE9QS8vWjii3IgJ	Blue Öyster Cult	Hot Rails to Hell	Tyranny And Mutation
tkHQJO99x8iR9nvT	The Jets	You Got It All	20th Century Masters: The Millennium Collection: Best Of The Jets
tkyyuomS4ND9ptAD	Dance of Days	Caulfield	Dance of Days no Estúdio Showlivre (Ao Vivo)
tlGFj7h4KXsH8Mop	Kate Nash	To the Music I Belong	Yesterday Was Forever
tlGHvtRBqfyqvl86	Kelly Clarkson	You Can't Win	Stronger (Deluxe Version)
tlNHOEBEfJ6kv8cd	Glee Cast	No Air	Glee: The Music, Volume 1
tmGWD6trbjg6l12G	Broken Social Scene	Pacific Theme	You Forgot It In People
tmOzGAoGeoLuqCAO	Blur	Beetlebum	Blur [Special Edition]
tnahSBaeNkMhGB84	TesseracT	Survival	Polaris
tp1RRH7ah9MiQwyo	Donna Summer	Love's About to Change My Heart	Another Place and Time
tp7juaZiHKQWWgrm	Kamelot	My Train Of Thoughts	Poetry for the Poisoned
tqMo9ZCf4KMNQpRf	Mary MacGregor	Torn Between Two Lovers	Simply the Best Seventies
tqc0WIiaCUyFpbU0	Buzzcocks	Nostalgia	Operators Manual (Buzzcocks Best)
tr5XdAWlcI0JX4cg	Cher	Favorite Scars	Closer To The Truth (Deluxe Version)
trEXP0ay0IDQClxu	Of Methodist	Dead to Me	Soldier Without A Rifle
trsCRBHUWJyc4ofd	Tinie Tempah	Written In The Stars	Disc-Overy
trzx0QMPUjGJbRtz	Kendji Girac	Sonrisa	Ensemble (Deluxe Version)
tsMu0q95n5nrRGRd	Earth, Wind & Fire	Let Your Feelings Show	I Am
tt7OCNcJaQ3z6zSK	The Republic Tigers	Buildings & Mountains	Keep Color
ttB8NjIbbhfFThmx	Machine Gun Kelly	LATELY	BINGE
tuKHPQDBzQH0JYlo	Silvana Imam	Vikken Då	Helig Moder
tuwkV7E2laNRUlWy	Big Thief	Randy	Masterpiece
tv4aRfJqv5Tb4TQ2	Tamaryn	The Waves	The Waves
tvFBLCPAdwmhA4MO	Therion	Son of the Sun	Sirius B
tw4rsExi3ve9pfIw	Black Sun Empire	The Cooler	Cruel & Unusual
twTZiJnIkFnPHEF7	The Beatles	Eleanor Rigby - Remastered	Revolver (Remastered)
twllU4KgUBA2NA6f	Blank Banshee	BIOS	Mega
txDVSopgsyB0acTt	Veto	You Say Yes, I Say Yes	Crushing Digits
txaMMgnUiky0cJfd	We Came As Romans	What I Wished I Never Had	Understanding What We've Grown to Be (Deluxe Edition)
tzHKAFNgyd0pekkg	Animal Collective	Infant Dressing Table	Here Comes The Indian
tzgGpQrOrdyACAvN	Elton John	Country Comfort	Tumbleweed Connection
tzjl2VUCR64XhxKY	Madonna	Keep It Together	Like a Prayer
u0uUQAA9Mt5fuhK7	Michael Giacchino	Coco - Día de los Muertos Suite	Coco (Original Motion Picture Soundtrack)
u1VHh1FVzFS8z29w	David Guetta	Better When You're Gone	Better When You're Gone
u1hyvEKa02PlI9V8	Motion City Soundtrack	When You're Around	Commit This To Memory
u2qSLH6hQnHDdhtT	Lindsay Lohan	Drama Queen (That Girl)	Confessions Of A Teenage Drama Queen
u2wuDqBqj3BhCTAi	Jonas Brothers	A Little Bit Longer	A Little Bit Longer
u33XCd6fUedJbxgA	Michael Bublé	Sway	Michael Bublé (US Version)
u3D2sSD4ze8tFEPC	Yellowman	Zungguzungguguzungguzeng	Most Wanted Series - Yellowman
u3ayS0FGagljyTXg	Marineros	El lado oscuro de tu corazón	O Marineros
u4pQs5AsS8DmYXmc	Wild Belle	Keep You	Isles
u5km9TXiYVFdm1Uj	Relient K	Bummin'	Air for Free
u5x8wp6W5fWFOcDn	Medina	Addiction	Welcome To Medina
u6c56rNoK8f3MPEJ	Ozuna	Devuelveme	Aura
u6uFIiuFqiWIA1ak	Sleepmakeswaves	It's Dark, It's Cold, It's Winter	sleepmakeswaves (USA)
u7TrdPrwhvdVKMXK	The Cheetah Girls	I'm The One	The Cheetah Girls: One World
u7g0ba9lLs3ykgBi	Dark Sarah	Deep And Deeper	The Puzzle
u8UF1lQ7AkSM4dws	Sparklehorse	Knives Of Summertime	Dreamt For Light Years In The Belly Of A Mountain
u8yIiM7FDH5dmGZv	Nelly Furtado	Fresh Off the Boat	Folklore
u99ZlGLSwdpqXVle	Dillon	Don't Go	The Unknown
u9IahL1RS94o8JiV	The Gun Club	Mother of Earth	Miami
u9aAw54WxPCV2rll	Anna Domino	Land Of My Dreams	East and West + Live In Japan
u9dSJvjwX5xSZwIQ	Black Rebel Motorcycle Club	Spook	Wrong Creatures
u9jATy9IoOGe7Dgf	AFX	Arched Maid Via RDJ	Hangable Auto Bulb
uAjJpzOhvbUO2pNB	Don Broco	Got to Be You	Technology
uB7HFc6baYEYwMwj	Whitesnake	Now You're Gone	Slip Of The Tongue (20th Anniversary Remaster)
uBpbDSEP6Q3gb5lq	Pink Floyd	The Gnome	The Piper at the Gates of Dawn
uBuaAWQvI4K4TD4K	The Good, the Bad & the Queen	Northern Whale	The Good, The Bad and The Queen
uD05xxHlDVrn7Pqt	Sunflower Bean	Easier Said	Human Ceremony
uD8ofaCfxM74nFrw	Fit for a King	Unclaimed, Unloved	Deathgrip
uDIUKIltGrDKs0XQ	GusGus	Don't Know How To Love	Lies Are More Flexible
uEKdxPzIcjNX2VKb	Caloncho	Hedonista	Hedonista
uEQVh8s1jHftfo52	Marilyn Manson	Mechanical Animals	Mechanical Animals
uEqN4JEvB1dmX8Vd	Dance Gavin Dance	Jesus H. Macy	Acceptance Speech
uF9NTRD4vG3Jp8s7	Thompson Twins	The Gap	Into The Gap
uFFvWNQHSMQp5oKg	Massimo Volume	Una Voce A Orlando	Il nuotatore
uFeVGgXI7CGH4d0X	Bell Witch	Mirror Reaper	Mirror Reaper
uG6aYedGfSjxy41C	Bishop Briggs	Dream	Church Of Scars
uGEEcv4eecY7Si80	Health	Loss Deluxe	VOL. 4 :: SLAVES OF FEAR
uGiglSqRPlSu2s5p	Gary Moore	Oh Pretty Woman	Still Got The Blues
uGrfAtG0DX1D8aGE	Amber Run	Dark Bloom	For a Moment, I Was Lost
uH2ulTXx8jwafcGH	María José	Quien Eres Tu (Feat. Trey Songz)	María José
uHfSwlImku0C6fcg	Mom Jeans.	Danger Can't	Best Buds
uHmAteBXA0HyakDu	Dido	Don't Believe in Love	Safe Trip Home
uIM9Lur4MKSiigce	Owl City	Angels	All Things Bright And Beautiful
uIP1a6v8uYeubaBQ	Loud Forest	Wake Up	Please Don't Disappear
uIi8OwFL9JkBnwMT	The Mowgli's	Kansas City	Kansas City
uIjkz7WNjgMeEzxi	Eric Clapton	Change The World	Clapton Chronicles: The Best of Eric Clapton
uIpTqMyOXdJT2oOk	Duran Duran	Drowning Man	Duran Duran [The Wedding Album]
uJRNTdNmYkjMURCG	Anathema	32.63N 117.14W	The Optimist
uJgXKPWpkWITtR5C	Novos Baianos	A Menina Dança	Acabou Chorare
uJj6454c9jGeqqp3	The For Carnation	Emp. Man's Blues	The For Carnation
uK5I4lPXkYCldPp5	mewithoutYou	Messes of Men	Brother, Sister
uKfZlWlGEZFOpGHl	BTOB	It's Okay	Complete
uKoYQVitYHUBBKW0	Therion	Land of Canaan	Sitra Ahra
uKuzgpt2LGlCZb0Q	Radiohead	Packt Like Sardines In A Crushed Tin Box	Amnesiac
uLUAVP3aDthuqvSv	Rae Sremmurd	Swang	SremmLife 2 (Deluxe)
uN5YSlPz9FNDrgzv	Ricky Nelson	Lonesome Town - Remastered	Ricky Sings Again (Expanded Edition / Remastered)
uNAFCwq1ZonWPCsD	Rouge	C'est La Vie (C' Est La Vie)	C' Est La Vie
uNCNJSbnzHFuK2Kq	Ed Sheeran	Where We Land	5
uNGhPKmReeSwFipM	Pierce The Veil	Chemical Kids and Mechanical Brides	A Flair For The Dramatic
uNZIQpseivgj7PFc	Mika	Dr. John	The Boy Who Knew Too Much
uNxjn8PuFzpjeHPH	Terror Jr	Talking to Myself	Bop City 2: TerroRising
uOJIAZmhvg5gOlU2	Kanye West	Saint Pablo	The Life Of Pablo
uOOX0PPG7VJsjQIE	Tiny Little Houses	Drag Me	Idiot Proverbs
uP2Lypf6N8jiFOaG	Nits	In The Dutch Mountains	In The Dutch Mountains
uP6m5sXpEihBTUP6	Brian Eno	The Lost Day	Ambient 4: On Land
uPI7HUjRKP086kqU	Far East Movement	Like A G6	Free Wired
uPd07lESPDy0kb5v	Tori Amos	1000 Oceans	To Venus And Back
uPhQso06v7jdsamB	Frankie Cosmos	If I Had a Dog	Next Thing
uQA7sNQujoHiuMAH	Christina Aguilera	Dreamers	Liberation
uQUCBofXJAQuX3pV	Gorillaz	Feel Good Inc.	Demon Days
uQrQlOrpJDKXo7Lb	Brandy	Wow	Full Moon
uR69sGDSUluAMEfR	Dulce María	Corazón en Pausa	Sin Fronteras
uS39KjsinG8hyOSD	a-ha	Train of Thought	Hunting High And Low
uSiBVXEIyY9vkkba	Edward Sharpe & The Magnetic Zeros	I Don't Wanna Pray	Here
uTKhN6egfQJOej6u	Dave Thomas Junior	I Can't Make You Love Me	I Can't Make You Love Me
uTWuH5qt7HvzslCq	Devin Townsend Project	Where We Belong	Epicloud
uU35tOTnmANnJEhR	$uicideboy$	Lettuce	KILL YOURSELF Part III: The Budd Dwyer Saga
uU39iaUYl0XLnihA	Marvin Gaye	When Did You Stop Loving Me, When Did I Stop Loving You	Here My Dear Deluxe Edition
uUWr7owWdCUz3Cfe	Мы	Ближе	Ближе Part2
uUjE6lPAHRZgsAKN	The Jesus Lizard	Tight n' Shiny	Head
uVGMh0MNP4in3A3x	Built to Spill	Distopian Dream Girl	There's Nothing Wrong With Love
uVHJnZC4VqO4cJIv	Indoor Pets	Pro Procrastinator	Be Content
uVbNO4Qt3zSaho37	Many Voices Speak	I Saw You	Tank Town
uVe6fjRMfFYe0G9e	Tracy Chapman	First Try	Telling Stories
uVpAghoOixzocv0X	Karol Conka	Caxambu	Batuk Freak (Instrumentals)
uWEnfg6Z4jsOJwou	65daysofstatic	23kid	One Time For All Time
uWPdIFCvvRmRfHyz	Portugal. The Man	Tidal Wave	Woodstock
uWpDH2EhFH0DPjLh	Adelitas Way	Cage The Beast	Home School Valedictorian
uWzYrniam2UzBMdc	David Bowie	Holy Holy	Five Years (1969 - 1973)
uXGQCQQjLSQpdKoD	Terror Jr	Appreciation	Bop City 2: TerroRising
uXOfGRdRjjRAVq0C	Jota Quest	Amor Maior	Acústico Jota Quest
uXoV7P3klCYVN8HY	Carpenters	(They Long to Be) Close to You	Close To You
uYXH99JD1IYCLMsb	The Joy Formidable	The Greatest Light Is the Greatest Shade	The Big Roar
uYvMaDdzf3bZQf1W	The Byrds	Hickory Wind	Sweetheart Of The Rodeo
uYz80NfSutf949JD	Nuclear Assault	The Other End	Something Wicked
uZ95ZuwsQ5lKVoPk	Bobby Womack	California Dreamin'	Fly Me To The Moon
uZdl4o1nRfvSWxgN	Drowning Pool	Nothingness	Desensitized
uZgPRqz3G8YQAEA4	Sorriso Maroto	Me Espera	Por Você
uZllLV4KAFP9ptXI	2NE1	박수쳐 Clap Your Hands	To Anyone
uZooh1FibqxFgSix	Madonna	Rebel Heart	Rebel Heart (Deluxe)
uaS1eZQ6PzFi5GdR	TV on the Radio	Test Pilot - Chilly Gonzales Re-Make	Test Pilot (Chilly Gonzales Re-Make)
uadv6WcW4zjxqPXQ	Carolina Durante	Necromántico	Necromántico
ubKyATY66NtVKTOJ	K E M A L	Brave	BRAVE
ubcUueo6GReAKv4Z	Jay Sean	Ride It	All Or Nothing
ubhTP8eoPbIesdN2	Mors Principium Est	God Has Fallen	Dawn of the 5TH Era
udAhlMPPwMvs4rtn	Visions of Atlantis	At the Back of Beyond	Trinity
udGwdjIF5Iq0USkf	John Coltrane Quartet	Nancy (With The Laughing Face)	Ballads
udScHNRDGNMObe7p	Christina Aguilera	Somebody's Somebody	Christina Aguilera (Expanded Edition)
udyFlFSTTER45BQL	Clarence Clarity	Next Best Thing	THINK: PEACE
ueBbSbMdSy6W6adj	Alice in Chains	Rooster	Dirt
ueDImnNQldux1wCj	Derrick Harriott	The Loser	The Loser / Now We Know
ueFzPee9VIZWLolc	Sérgio Sampaio	Que Loucura	Tem Que Acontecer
ueavcCtl9jMXUFWH	FM-84	Tears	Atlas
uetiECgkEH83d7UV	Rhapsody	Knightrider of Doom	Power of the Dragonflame
uf5QOv5q96pBXhjU	Michael Jackson	Johnny Raven	Music and Me
ufXP4em3UFWfnLVB	Beto Guedes	Lumiar	Preferencia Nacional
ugMDGvCfHtFVxNJy	Bad Religion	The Answer	Generator (2005 Remaster)
ugYaNZmoIMw2IscA	Kid Abelha	A fórmula do amor	Educação Sentimental
uhM5CwYNbIRZEsyH	$uicideboy$	I HUNG MYSELF FOR A PERSONA	KILL YOURSELF Part XX: The Infinity Saga
uhOuLXmCFOml8QPy	Bad Religion	Better Off Dead	Stranger Than Fiction
uhahcG4Hd7d0ksS4	Etherwood	Begin By Letting Go	Etherwood
ui4bfNFpReoGeIQa	Amorphis	Amongst Stars	Queen of Time
uiWP8bBty9on9rKS	Ra Ra Riot	Suspended In Gaffa	The Rhumb Line (10th Anniversary Edition)
uieP5mmg5snmku1T	Anthrax	For All Kings	For All Kings
uikqsynNXnWrkzeo	Backstreet Boys	Love Somebody	In a World Like This
ujmin4EcRsLwIJj7	Sam Hunt	Leave the Night On	Montevallo
ujqumv5R1BmN73ah	Banda Calypso	Um Beijo Seu (Ao Vivo)	Calypso Ao Vivo em Goiânia
uk88L5gLKvOfjmIA	Paramore	We Are Broken	RIOT!
uk9AqHt6AK73Re6N	Brandi Carlile	That Wasn't Me	Bear Creek
ulOslCx5r0Iqdwoc	Robbie Nevil	C'est La Vie	The Best Of Robbie Neville
ulUWdhWR3EQzG6xG	Wilson Pickett	Hey Joe	Wilson Pickett: A Man And A Half
ulcmjapnliBYYJos	Tonight Alive	The Edge	The Edge
umPyLNAXbQHjKr3g	070 Shake	Mirrors	Glitter
umQcYqsFicENqXio	Cliff Martinez	What Are You	The Neon Demon (Original Motion Picture Soundtrack)
umRXcx28GCSyICPk	Mon Laferte	No Te Me Quites De Acá	Norma
un3sk343RJ0sOg81	Future Islands	Beach Foam	Wave Like Home
un4kzdmkZdWJ7KzZ	Pentimento	Sink Or Swim	I, No Longer
unxOT4Q0O4qHx3Un	Franz Ferdinand	The Universe Expanded	Right Thoughts, Right Words, Right Action (Deluxe Edition)
uo361EMFekJxqjcc	Kylie Minogue	Password	Light Years
uo7Wx2zjikt8e38y	Cass McCombs	What Isn't Nature	A
uoJWoi0fHz5WDbTv	Kyan Palmer	Can't Help It	Can't Help It
upC5mQJQgNH8NKDE	Silverstein	Still Dreaming	Redux: The First 10 Years
upCfmqkAPJda1wH8	Mecano	Una rosa es una rosa	Aidalai
upGV2DyNjyKJ1WXh	The Fray	Be Still	Scars & Stories
upMpN1ww8tOWnbhS	Edie Brickell and New Bohemians	What I Am	Shooting Rubberbands At The Stars
upQiuwtfoQdbwdsE	Iggy Azalea	New Bitch	The New Classic
uplGsugWDuC1aacg	Oswaldo Montenegro	A Lista	25 Anos
upwmJCh4ysaMIrC4	Set Fire to Flames	Measure de Mesure	Telegraphs in Negative / Mouths Trapped in Static
uq5ETEbfFgKLqjnz	Bob Seger	Mainstreet	Night Moves
uqLWNT68XFaRJHHm	Pulley	Hooray for Me	Together Again For The First Time
uqQkMXpx5YiMYoQ0	Frightened Rabbit	Holy	Pedestrian Verse
uqm5FeCfXStgSUXg	of Montreal	Heimdalsgate Like A Promethean Curse	Hissing Fauna, Are You The Destroyer?
ur9b9N7fA5Nwvdug	Portugal. The Man	Hard Times	Censored Colors
uryZ8JC3AubSeg9T	Flying Lotus	Spicy Sammich	Reset EP
usk2V937PzPVaOAo	Fightstar	Dive	Behind The Devil's Back
uswqdwqKwqNpA0ea	Infected Mushroom	Artillery	Vicious Delicious
uu46WcTiPDUH2AL1	Outer Heaven	Tortured Winds	Realms of Eternal Decay
uuGynMhwZtOZNWNP	Crosby, Stills, Nash & Young	Teach Your Children	Deja Vu
uublr4HSDBrSqY7w	Aimee Mann	You Never Loved Me	Mental Illness
uuz4x9CaCTuL0SZx	Au Revoir Simone	All Or Nothing	Still Night, Still Light
uv8dTxntpSN0P9NQ	Leighton Meester	Sweet	Heartstrings
ux9iQDQkkEnTt4kz	Lifelover	Mitt Annexia	Konkurs
uxAt5B5y30zR8gwO	The Human League	One Man In My Heart	Octopus
uxFe375xX9J0tyVk	In Flames	The Quiet Place	Soundtrack To Your Escape (Reissue 2014)
uxGfuUirDjQiTufM	Jade Baraldo	Nem o Mar (Pôde Levar)	Nem o Mar (Pôde Levar)
uxjmTmUtxdczW2GN	Mc João	Baile de Favela	Baile de Favela
uysYyvHjNhg4J03M	Remo Drive	Blue Ribbon	Pop Music
uzRuPwzfzLcloH3Z	Róisín Murphy	Simulation	Simulation
uzuh5XLA6f3ZTB8g	Oranssi Pazuzu	Hypnotisoitu Viharukous	Värähtelijä
v032ByDnk0vPSe9J	Alexisonfire	Midnight Regulations	Old Crows / Young Cardinals
v0BagbLQ68vsgBTZ	Bonobo	Silver	Animal Magic
v0NEiFzGC1qP3VRf	Kent	När det blåser på månen	Kent
v0U3c4xwkDNNTxAY	Little Big	Big Dick	Funeral Rave
v0ZKSpu5PDb3T1jV	Moby	Spiders	Hotel
v0fZb10dqfULp891	Opeth	Heritage	Heritage
v1XepZBlHHPy1me2	Janet Jackson	2nite	Discipline
v1YuwZ5wS27LIETA	Krewella	Alibi	Alibi & Runaway (Remixes)
v27mu6sTZCtEM0wx	Anitta	Vai e Volta	Ritmo Perfeito
v2FhqfBlkM6Q3f2l	Mandragora	Sem Chão	Sem Chão
v2P8wIymAEhQVomx	Full of Hell	Shattered Knife	Full of Hell & Merzbow
v2sMZwDD8aEoqjco	Moby	Slow Light	Wait for Me (Deluxe Edition)
v371b4CXKioSIYn4	PRODUCE 101	PICK ME	PRODUCE 101 : It's Me (Pick Me)
v3EjFAo41UKRfHUf	Asking Alexandria	The Road	From Death To Destiny
v3P1kFTQ5aThsHA2	Hüsker Dü	Dead Set On Destruction	Candy Apple Grey
v3mLjFAkkk61ttul	Alice Cooper	Welcome To My Nightmare	Welcome To My Nightmare
v4bP5fdJjY34e1aV	Toby Fox	Bonetrousle	UNDERTALE Soundtrack
v4ivyF5CbPaeWvHb	Fall Out Boy	Twin Skeleton's (Hotel in NYC)	American Beauty/American Psycho
v52yHgLYmYyyYVBO	Tropical Fuck Storm	The Planet of Straw Men	The Planet of Straw Men
v5A6m4nJh7hl8XHj	Moose Blood	Knuckles	Blush
v5IjFEaZsbzyDOmZ	Rainsford	Too Close	Too Close
v5ljKfVq6oWerL0R	The Strokes	Is This It	Is This It
v5xe058HcPorm48q	Billie Holiday	Body And Soul	Body and Soul
v6XumM5GAD8eLHsn	Blind Melon	No Rain	Blind Melon
v6iwIpi4K2UJiRng	Apocalyptica	Nothing Else Matters	Inquisition Symphony
v6ltZbuUiklgQTea	Cults	Hope You Found What You've Been Missing	Offering B Sides & Remixes
v7xYgojW95YbD28m	Soen	Delenda	Cognitive
v8JcyhKOnJ9q2BRl	Satyricon	Our World, It Rumbles Tonight	Satyricon
v8Nv4QDbzb52rETB	Spongebob Squarepants	Gary's Song	SpongeBob's Greatest Hits
v8XFtqHshPVmWuvl	Tortoise	Stretch (You Are All Right)	It's All Around You
v8mcUAUvY2Pk1gDJ	Green Day	Fell for You	¡UNO!
v9XI7XCCe4yKgJSj	Our Lady Peace	Somewhere Out There	Gravity
v9bRHVBbmmh8TgKl	Madonna	Express Yourself (Non-Stop Express mix)	Like A Prayer (30th Anniversary)
vA40YEOjc5FTGWcW	Rogue	Imperfect Views	Imperfect Views
vAt6Z5tqxuh2DyLn	Gogol Bordello	Start Wearing Purple	Gypsy Punks: Underdog World Strike
vBBGaSjosEYNIu5K	The Birthday Massacre	Leaving Tonight	Hide and Seek
vBDenWcRnxzkIrvO	Lee Brice	She Ain't Right	Love Like Crazy
vBOyknxdz4A7dO4B	TLC	No Introduction	TLC
vCCMvgSJnzirTprt	The New Pornographers	Adventures In Solitude	Challengers
vCMtou9JWlsx5c6B	Wings	Listen To What The Man Said	Venus And Mars
vCV4Ewc3Zm9uZZME	W.A.S.P.	Babylon's Burning	Babylon
vD4jmiC66VkozutN	Röyksopp	Skulls	The Inevitable End
vDWdxYxqEqmUXiVB	Noir Désir	Un Jour En France	666.667 Club
vDuyTP8mFItgngXp	Fear Factory	Self Bias Resistor	Demanufacture
vDxRdszZDlsD3ErR	Aphex Twin	Cow Cud is a Twin	...I Care Because You Do
vFEFpIZ0iySS6LWK	Emancipator	Eve	Dusk to Dawn Remixes
vFy8xJMMVFgWFZnq	Bassnectar	Speakerbox (feat. Lafa Taylor)	Into the Sun
vG1k3aZWMD4dgyQs	rakede	Jetzt Gehst Du Weg	Rakede
vGFGywexxqy7ugN5	Amenra	Children of the Eye	Mass VI
vHBQRNsc9eNx9gFd	YBN Nahmir	Bounce Out With That	YBN: The Mixtape
vHKtwYIHtGcMMJZa	The Stylistics	Betcha By Golly, Wow	The Very Best of the Stylistics ... And More!
vHcPtqGffZtwisWC	Silversun Pickups	The Royal We	Swoon
vHsoHHpfuEaNU0qa	My Morning Jacket	Wordless Chorus	Z
vHxytZsuzapuCN0F	Emmure	Ice Man Confessions	Look at Yourself
vICz6SCzrWUSk9Jy	Vulfpeck	Smile Meditation	Thrill of the Arts
vIsCex9NOhqQSoUL	Laura Welsh	Break The Fall	Laura Welsh
vItpyeJfNViYnIb7	Gus Dapperton	Prune, You Talk Funny	Prune, You Talk Funny
vJxpiRcgDkE7WsoT	Sum 41	What I Believe	Half Hour Of Power
vK2utyU9DKRSR01O	Led Zeppelin	In My Time of Dying	Physical Graffiti
vLC3T6Tg1Me6QUNC	slushii	Luv U Need U	LUV U NEED U
vLSekbQg2vKlWXwe	Johnny Cash	Blistered	Hello, I'm Johnny Cash
vLcLw2wIsr1F3esl	Glass Animals	Black Mambo	ZABA
vLpHJgcJtDoRFEz3	All That Remains	Madness	Madness
vM19ZgX2PKiP6P4w	Luke Combs	When It Rains It Pours	This One's for You
vM7BIA1ARPskl31j	Bill Evans Trio	Re: Person I Knew	Moon Beams
vMTvfpTWWeX6z8cl	Yo La Tengo	Return to Hot Chicken	I Can Hear The Heart Beating As One
